id;placed_date;status;code;invoice_id;customer_id
1;2020-09-22T02:02:00;COMPLETED;Georgia calculate withdrawal;virtual violet Corporate;1
2;2020-09-21T12:24:27;CANCELLED;Health Music Expanded;THX Marketing Generic Plastic Hat;2
3;2020-09-21T11:00:11;CANCELLED;revolutionize harness Kyat;Toys Implementation;3
4;2020-09-22T00:19:52;COMPLETED;circuit backing up Orchestrator;Small Concrete Cheese connecting;4
5;2020-09-22T07:30:47;COMPLETED;target;orchid;5
6;2020-09-21T19:19:24;CANCELLED;input;Chair Human;6
7;2020-09-21T12:29:54;CANCELLED;payment;navigate Beauty;7
8;2020-09-21T12:37:25;CANCELLED;Spain Bike proactive;hack green Streamlined;8
9;2020-09-22T01:08:19;PENDING;back up front-end eco-centric;FTP;9
10;2020-09-22T07:55:19;COMPLETED;bluetooth matrix;Papua New Guinea West Virginia Unbranded Wooden Gloves;10
